Region/country/area,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,Total renewable energy,32.099,32.124,32.69,33.288,33.771,35.447,35.843,70.752,85.646,90.379,90.148,91.898,121.898
Burkina Faso,Hydropower,32,32,32,32,32,32,32,32,32,34.6,34.6,34.6,34.6
Burkina Faso,Renewable hydropower,32,32,32,32,32,32,32,32,32,34.6,34.6,34.6,34.6
Burkina Faso,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Solar,0.099,0.124,0.69,1.138,1.621,2.547,2.943,37.852,52.746,54.879,54.648,56.398,86.398
Burkina Faso,Solar photovoltaic,0.099,0.124,0.69,1.138,1.621,2.547,2.943,37.852,52.746,54.879,54.648,56.398,86.398
Burkina Faso,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Bioenergy,0,0,0,0.15,0.15,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Burkina Faso,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Liquid biofuels,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Burkina Faso,Biogas,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Burkina Faso,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Total renewable energy,54.253,54.253,54.656,54.656,54.656,54.956,55.756,53.686,54.186,54.186,54.386,61.286,76.286
Burundi,Hydropower,50.253,50.253,50.253,50.253,50.253,50.253,50.253,47.783,48.283,48.283,48.283,48.283,63.283
Burundi,Renewable hydropower,50.253,50.253,50.253,50.253,50.253,50.253,50.253,47.783,48.283,48.283,48.283,48.283,63.283
Burundi,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Solar,0,0,0.403,0.403,0.403,0.703,1.503,1.903,1.903,1.903,2.103,9.003,9.003
Burundi,Solar photovoltaic,0,0,0.403,0.403,0.403,0.703,1.503,1.903,1.903,1.903,2.103,9.003,9.003
Burundi,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Bioenergy,4,4,4,4,4,4,4,4,4,4,4,4,4
Burundi,Solid biofuels and renewable municipal waste,4,4,4,4,4,4,4,4,4,4,4,4,4
Burundi,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Bagasse,4,4,4,4,4,4,4,4,4,4,4,4,4
Burundi,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Total renewable energy,7.3,22.5,32.774,32.851,33.005,33.318,33.374,33.435,35.336,35.381,35.381,35.381,35.381
Cabo Verde,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Wind,1.8,17,27.2,27.2,27.2,27.2,27.2,27.2,27.8,27.8,27.8,27.8,27.8
Cabo Verde,Onshore wind energy,1.8,17,27.2,27.2,27.2,27.2,27.2,27.2,27.8,27.8,27.8,27.8,27.8
Cabo Verde,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Solar,5.5,5.5,5.574,5.651,5.805,6.118,6.174,6.235,7.536,7.581,7.581,7.581,7.581
Cabo Verde,Solar photovoltaic,5.5,5.5,5.574,5.651,5.805,6.118,6.174,6.235,7.536,7.581,7.581,7.581,7.581
Cabo Verde,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Total renewable energy,724.3,730.9,731.3,736.1,738.1,739.9,741.5,743.896,746.492,826.492,826.617,826.617,826.617
Cameroon,Hydropower,723.3,728.5,728.5,732.5,732.5,732.5,732.5,732.3,732.3,812.3,812.3,812.3,812.3
Cameroon,Renewable hydropower,723.3,728.5,728.5,732.5,732.5,732.5,732.5,732.3,732.3,812.3,812.3,812.3,812.3
Cameroon,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Solar,1,2.4,2.8,3.6,5.6,7.4,9,11.596,14.192,14.192,14.317,14.317,14.317
Cameroon,Solar photovoltaic,1,2.4,2.8,3.6,5.6,7.4,9,11.596,14.192,14.192,14.317,14.317,14.317
Cameroon,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Total renewable energy,18.95,19.05,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.166,19.166,19.166,19.166
Central African Republic,Hydropower,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
Central African Republic,Renewable hydropower,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
Central African Republic,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Solar,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.316,0.316,0.316,0.316
Central African Republic,Solar photovoltaic,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.316,0.316,0.316,0.316
Central African Republic,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Total renewable energy,2.002,2.002,2.003,2.05,2.05,2.172,3.273,3.273,3.29,3.29,3.827,3.827,3.827
Chad,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Wind,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Chad,Onshore wind energy,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Chad,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Solar,0.002,0.002,0.003,0.05,0.05,0.172,0.173,0.173,0.19,0.19,0.727,0.727,0.727
Chad,Solar photovoltaic,0.002,0.002,0.003,0.05,0.05,0.172,0.173,0.173,0.19,0.19,0.727,0.727,0.727
Chad,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Bioenergy,2,2,2,2,2,2,2,2,2,2,2,2,2
Chad,Solid biofuels and renewable municipal waste,2,2,2,2,2,2,2,2,2,2,2,2,2
Chad,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
