CountryName,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,Solar photovoltaic,2.105,8.956,7.464,7.253,6.647,6.208,5.637,6.61,9.121,8.985,6.591,6.884
Cabo Verde,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Total renewable energy,4261.374,4388.718,4259.897,4377.626,4380.374,4382.848,4385.046,5105.833,5109.4,5109.4,5109.572,5109.572
Cameroon,Hydropower,4260,4385.42,4256.05,4372.68,4372.68,4372.68,4372.68,5089.9,5089.9,5089.9,5089.9,5089.9
Cameroon,Renewable hydropower,4260,4385.42,4256.05,4372.68,4372.68,4372.68,4372.68,5089.9,5089.9,5089.9,5089.9,5089.9
Cameroon,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Solar,1.374,3.298,3.847,4.946,7.694,10.168,12.366,15.933,19.5,19.5,19.672,19.672
Cameroon,Solar photovoltaic,1.374,3.298,3.847,4.946,7.694,10.168,12.366,15.933,19.5,19.5,19.672,19.672
Cameroon,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Total renewable energy,140.806,141.948,142.09,142.09,140.924,138.628,131.69,141.691,141.691,141.691,141.691,141.691
Central African Republic,Hydropower,140.664,141.664,141.664,141.664,140.498,138.202,131.264,141.265,141.265,141.265,141.265,141.265
Central African Republic,Renewable hydropower,140.664,141.664,141.664,141.664,140.498,138.202,131.264,141.265,141.265,141.265,141.265,141.265
Central African Republic,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Solar,0.142,0.284,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
Central African Republic,Solar photovoltaic,0.142,0.284,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
Central African Republic,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Total renewable energy,8.838,8.496,8.651,8.839,8.996,9.379,18.412,18.57,18.803,18.803,19.195,19.272
Chad,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Wind,0,0,0,0,0,0,8.9,8.9,8.9,8.9,8.9,8.9
Chad,Onshore wind energy,0,0,0,0,0,0,8.9,8.9,8.9,8.9,8.9,8.9
Chad,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Solar,0.004,0.004,0.005,0.079,0.079,0.272,0.273,0.3,0.402,0.402,1.184,1.261
Chad,Solar photovoltaic,0.004,0.004,0.005,0.079,0.079,0.272,0.273,0.3,0.402,0.402,1.184,1.261
Chad,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Bioenergy,8.834,8.492,8.646,8.76,8.917,9.107,9.239,9.37,9.501,9.501,9.111,9.111
Chad,Solid biofuels and renewable municipal waste,8.834,8.492,8.646,8.76,8.917,9.107,9.239,9.37,9.501,9.501,9.111,9.111
Chad,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Bagasse,8.834,8.492,8.646,8.76,8.917,9.107,9.239,9.37,9.501,9.501,9.111,9.111
Chad,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Total renewable energy,5,5,5,5,5,0,0,0,0,0,0,0
Comoros,Hydropower,5,5,5,5,5,0,0,0,0,0,0,0
Comoros,Renewable hydropower,5,5,5,5,5,0,0,0,0,0,0,0
Comoros,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Solar,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Total renewable energy,7510.121,7192.347,7558.161,8341.739,8720.967,8768.026,8832.005,9819.263,10915.124,11895.287,11923.922,11920.817
Democratic Republic of the Congo,Hydropower,7509.701,7191.898,7557.63,8340.821,8719.769,8766.746,8827.527,9806.899,10881.945,11862.108,11890.743,11887.638
